index_all,date,info.match_type,info.neutral_venue,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.winner,info.overs,info.teams,info.toss.decision,info.toss.winner
667,"[datetime.date(2007, 2, 16)]",ODI,0,,10,New Zealand,50,"['New Zealand', 'Australia']",field,New Zealand
668,"[datetime.date(2007, 2, 18)]",ODI,0,,5,New Zealand,50,"['New Zealand', 'Australia']",field,New Zealand
669,"[datetime.date(2007, 2, 20)]",ODI,0,,1,New Zealand,50,"['New Zealand', 'Australia']",bat,Australia
670,"[datetime.date(2006, 12, 1)]",T20,0,,6,India,20,"['South Africa', 'India']",bat,South Africa
671,"[datetime.date(2006, 9, 15)]",ODI,0,,5,South Africa,50,"['South Africa', 'Zimbabwe']",bat,Zimbabwe
674,"[datetime.date(2006, 9, 18)]",ODI,1,,3,West Indies,50,"['Australia', 'West Indies']",bat,Australia
675,"[datetime.date(2006, 9, 20)]",ODI,1,16,,India,50,"['India', 'West Indies']",bat,India
676,"[datetime.date(2006, 9, 22)]",ODI,1,18,,Australia,50,"['Australia', 'India']",bat,Australia
677,"[datetime.date(2006, 9, 24)]",ODI,1,127,,Australia,50,"['Australia', 'West Indies']",bat,Australia
679,"[datetime.date(2006, 9, 20)]",ODI,0,171,,South Africa,50,"['South Africa', 'Zimbabwe']",bat,South Africa
680,"[datetime.date(2006, 12, 7)]",ODI,0,,2,Pakistan,50,"['Pakistan', 'West Indies']",field,Pakistan
682,"[datetime.date(2006, 12, 13)]",ODI,0,,7,West Indies,50,"['Pakistan', 'West Indies']",bat,Pakistan
683,"[datetime.date(2006, 12, 16)]",ODI,0,,7,Pakistan,50,"['Pakistan', 'West Indies']",field,Pakistan
684,"[datetime.date(2007, 6, 28)]",T20,0,15,,West Indies,20,"['England', 'West Indies']",bat,West Indies
685,"[datetime.date(2007, 6, 29)]",T20,0,,5,England,20,"['England', 'West Indies']",bat,West Indies
686,"[datetime.date(2007, 7, 1)]",ODI,0,79,,England,50,"['England', 'West Indies']",field,West Indies
687,"[datetime.date(2007, 7, 4)]",ODI,0,61,,West Indies,50,"['England', 'West Indies']",field,England
688,"[datetime.date(2007, 7, 7)]",ODI,0,93,,West Indies,50,"['England', 'West Indies']",bat,West Indies
689,"[datetime.date(2007, 8, 21)]",ODI,0,104,,England,50,"['England', 'India']",field,India
690,"[datetime.date(2007, 8, 24)]",ODI,0,9,,India,50,"['England', 'India']",bat,India
